Pais;Ciutat;Data;Mes;Temperatura;Estacio
Italia;Roma;04/08/2023;8;24,2;Estiu
Italia;Roma;05/08/2023;8;20,8;Estiu
Italia;Roma;06/08/2023;8;22,6;Estiu
Italia;Roma;07/08/2023;8;22,6;Estiu
Italia;Roma;08/08/2023;8;22,4;Estiu
Italia;Roma;09/08/2023;8;22,2;Estiu
Italia;Roma;10/08/2023;8;23,4;Estiu
Italia;Roma;11/08/2023;8;25;Estiu
Italia;Roma;12/08/2023;8;25,2;Estiu
Italia;Roma;13/08/2023;8;25,4;Estiu
Italia;Roma;14/08/2023;8;25,4;Estiu
Italia;Roma;15/08/2023;8;25,2;Estiu
